HELD AT HARVARD,HARVARD PERMALINK,Catalog Link,Judaica - Verified,268,ISBN,Title,Author,Series,Publisher,Year Published,Date_Published,Pages_Thickness,Magazine,Volume_number,Category,Category_2,Request_Number,Library_ID,DOI,Persistent_Identifier,Report_Number,ISBN,FileName,University_Degree,Searched,Found Count: 268,ISSN,Duplication,Searching Category,URL
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102639890203941/catalog,#REF!,Judaica,Habits of rich people learned from Jews : Jewish law and wisdom to become a millionaire,4-537-25188-3,ユダヤ人から学ぶ金持ち人間の習慣術 : 大富豪になるユダヤ流律法と英知,ウィン・クラブ 編著,,日本文芸社,2004,2004.1,221p ; 19cm,,,図書,US51 159,US51-H1048,4345354,,,,4-537-25188-3,タルムード 1-100,,Red,,,1,1,http://id.ndl.go.jp/bib/000008392879
Not Found,No Permalink Found,#REF!,Judaica,newspapers and Jews,978-4-9908081-0-5,新聞とユダヤ人,武田誠吾 著,,ともはつよし社,2014,2014.11,317p ; 19cm,,,図書,A65 316.88,A65-L11,27613348,,,,978-4-9908081-0-5,シオン主義 89-120,,Red,,,1,1,http://id.ndl.go.jp/bib/025415095
Held Online; Not in Widener/Yenching,https://id.lib.harvard.edu/alma/990126700650203941/catalog,#REF!,Judaica - New,``Shanghai Jewish Ghetto'' under Japanese Occupation: Between ``evacuation'' and ``surveillance'',978-4-8122-0972-1,日本占領下の〈上海ユダヤ人ゲットー〉 : 「避難」と「監視」の狭間で,関根真保 著,,昭和堂,2010,2010.2,"249, 5p ; 22cm",,,図書,EC134 316.88,EC134-J23,10815791,,,,978-4-8122-0972-1,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000007356761
Held Online; Not in Widener/Yenching,https://id.lib.harvard.edu/alma/990126700650203941/catalog,#REF!,Judaica - New,``Shanghai Jewish Ghetto'' under Japanese Occupation: Between ``evacuation'' and ``surveillance'',978-4-8122-0972-1,日本占領下の〈上海ユダヤ人ゲットー〉 : 「避難」と「監視」の狭間で,関根真保 著,,昭和堂,2010,2010.2,"249, 5p ; 22cm",,,図書,EC134 316.88,EC134-J23,10815791,,,,978-4-8122-0972-1,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000007356761
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990088420440203941/catalog,http://id.ndl.go.jp/bib/028903633,Judaica - New,100 Jews who changed the world,4-06-210832-1,世界を動かしたユダヤ人100人,"マイケル・シャピロ 著 , 大谷堅志郎 訳",,講談社,2001,2001.8,414p ; 20cm,,,図書,GK21 283.04,GK21-G94,3011200,,,,4-06-210832-1,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/028903633
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102634330203941/catalog,#REF!,Judaica - New,5000 Years of Jewish Teachings,4-408-39551-X,ユダヤ5000年の教え : 世界の富を動かすユダヤ人の原点を格言で学ぶ,"ラビ・マービン・トケイヤー 編著 , 加瀬英明 訳",,実業之日本社,2004,2004.4,206p ; 19cm,,,図書,US57 159.8,US57-H48,7318116,,,,4-408-39551-X,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000010061030
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990121702780203941/catalog,#REF!,Judaica - New,"A Study of Weber's ""Ancient Judaism""",978-4-00-022207-5,ヴェーバー『古代ユダヤ教』の研究,内田芳明 著,,岩波書店,2008,2008.9,310p ; 22cm,,,図書,HR17 199,HR17-J2,9632877,,,,978-4-00-022207-5,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/027613323
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193309503941/catalog,#REF!,Judaica - New,Above Heaven and Earth: Dialogue between the Pope and the Rabbi,978-4-89586-158-8,天と地の上で : 教皇とラビの対話,"教皇フランシスコ, ラビ・アブラハム・スコルカ 著 , 八重樫克彦, 八重樫由貴子 訳",,ミルトス,2014,2014.6,262p ; 19cm,,,図書,HP12 190.4,HP12-L27,25522454,,,,978-4-89586-158-8,ユダヤ1301-1400,,Red,,,1,1,http://id.ndl.go.jp/bib/029816226
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990092853930203941/catalog,#REF!,Judaica - New,Action principle of Jewish revenge,4-06-272184-8,ユダヤ人復讐の行動原理,小坂井澄 [著],講談社+α新書,講談社,2003,2003.3,217p ; 18cm,,,図書,GE761 227.9,GE761-H9,4079117,,,,4-06-272184-8,ユダヤ201-300,,Red,,,1,2,http://id.ndl.go.jp/bib/000007992941
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990126358270203941/catalog,#REF!,Judaica - New,Ajar Golden Door: American Jews and Higher Education,978-4-588-60307-5,半開きの〈黄金の扉〉 : アメリカ・ユダヤ人と高等教育,北美幸 著,サピエンティア ; 07,法政大学出版局,2009,2009.4,328p ; 20cm,,,図書,FD25 377.253,FD25-J8,10150581,,,,978-4-588-60307-5,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000010119340
Not Found,No Permalink Found,#REF!,Judaica - New,Chiune Sugihara : A long wish for a visa for life,4-652-01470-8,杉原千畝 : 命のビザにたくした願い,"酒寄雅志 監修 , 小西聖一 著",NHKにんげん日本史,理論社,2004,2004.3,109p ; 25cm,,,図書,Y3 289.1,Y3-N04-H45,7289662,,,,4-652-01470-8,ユダヤ1401-1500,,Red,,,1,1,http://id.ndl.go.jp/bib/030212854
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990126517560203941/catalog,#REF!,Judaica - New,"Criticism of the Modern Enlightenment and the Pathology of Nazism : Law, the State, and the Jews in Karl Schmidt",4-423-71057-9,近代啓蒙批判とナチズムの病理 : カール・シュミットにおける法・国家・ユダヤ人,佐野誠 著,,創文社,2003,2003.12,"383, 12p ; 22cm",,,図書,A28 311.234,A28-H14,4346863,,,,4-423-71057-9,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/030003715
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990126214290203941/catalog,#REF!,Judaica - New,Financial Crisis and Judeo-Christianity,978-4-16-660727-3,金融恐慌とユダヤ・キリスト教,島田裕巳 著,文春新書 ; 727,文藝春秋,2009,2009.12,240p ; 18cm,,,図書,DA1 330.4,DA1-J153,10645624,,,,978-4-16-660727-3,ユダヤ201-300,,Red,,,1,2,http://id.ndl.go.jp/bib/031617865
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190203941/catalog,http://id.ndl.go.jp/bib/029845497,Judaica - New,Freud's Moses: Judaism with an end and Judaism without an end,978-4-00-024697-2,フロイトのモーセ : 終わりのあるユダヤ教と終わりのないユダヤ教,"ヨセフ・ハイーム・イェルシャルミ 著 , 小森謙一郎 訳",,岩波書店,2014,2014.9,277p ; 20cm,,,図書,SB35 146.13,SB35-L53,25702395,,,,978-4-00-024697-2,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/029845497
Not Found,No Permalink Found,,Judaica - New,Glimpses of a Unique Jewish Culture From a Japanese Perspective: Essays on Yiddish Language and Literature,978-4-7791-2745-8,Glimpses of a Unique Jewish Culture From a Japanese Perspective : Essays on Yiddish Language and Literature,Yoshiji Hirose 著,,彩流社,2021,2021.3,160p ; 22cm,,,図書,KS318 949.9,KS318-D1,31328730,,,,978-4-7791-2745-8,イディッシュ 1-45,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99156014358903941/catalog,http://id.ndl.go.jp/bib/026642298,Judaica - New,How Jews Survived Under the Rising Sun Flag : Japan's Jewish Policy from the Perspective of Jews,978-4-585-22260-6,日章旗のもとでユダヤ人はいかに生き延びたか : ユダヤ人から見た日本のユダヤ政策,"メロン・メッツィーニ 著 , 水内龍太 訳",,勉誠出版,2020,2020.2,"336,60p ; 19cm",,,図書,EC134 316.88,EC134-M5,30319322,,,,978-4-585-22260-6,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/026642298
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102629260203941/catalog,#REF!,Judaica - New,How to read your fortune-grabbing destiny: Jewish millionaire's 'rules of success',4-7966-4221-8,富をつかむ運命の読み方 : ユダヤ人大富豪の「成功の法則」,浅野八郎 著,,宝島社,2004,2004.9,223p ; 20cm,,,図書,HR511 148.9,HR511-H69,7466199,,,,4-7966-4221-8,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/030791755
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990087953650203941/catalog,#REF!,Judaica - New,I Touched Jewish Thought : Life and Pain,4-89451-099-5,ユダヤ思想にふれた私 : 生きる・いたみ,てしまゆうろう 著,,フォレスト出版,2000,2000.7,237p ; 19cm,,,図書,GK137 289.1,GK137-G31,2987412,,,,4-89451-099-5,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000003629795
