HELD AT HARVARD,HARVARD PERMALINK,Catalog Link,Judaica - Verified,20,ISBN,Title,Author,Series,Publisher,Year Published,Date_Published,Pages_Thickness,Magazine,Volume_number,Category,Category_2,Request_Number,Library_ID,DOI,Persistent_Identifier,Report_Number,ISBN,FileName,University_Degree,Searched,https://hollis.harvard.edu/,ISSN,Duplication,Searching Category,URL
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99156014358903941/catalog,http://id.ndl.go.jp/bib/026642298,Judaica - New,How Jews Survived Under the Rising Sun Flag : Japan's Jewish Policy from the Perspective of Jews,978-4-585-22260-6,日章旗のもとでユダヤ人はいかに生き延びたか : ユダヤ人から見た日本のユダヤ政策,"メロン・メッツィーニ 著 , 水内龍太 訳",,勉誠出版,2020,2020.2,"336,60p ; 19cm",,,図書,EC134 316.88,EC134-M5,30319322,,,,978-4-585-22260-6,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/026642298
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102629260203941/catalog,#REF!,Judaica - New,How to read your fortune-grabbing destiny: Jewish millionaire's 'rules of success',4-7966-4221-8,富をつかむ運命の読み方 : ユダヤ人大富豪の「成功の法則」,浅野八郎 著,,宝島社,2004,2004.9,223p ; 20cm,,,図書,HR511 148.9,HR511-H69,7466199,,,,4-7966-4221-8,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/030791755
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102629260203941/catalog,#REF!,Judaica - New,How to read your fortune-grabbing destiny: Jewish millionaire's 'rules of success',4-7966-4221-8,富をつかむ運命の読み方 : ユダヤ人大富豪の「成功の法則」,浅野八郎 著,,宝島社,2004,2004.9,223p ; 20cm,,,図書,HR511 148.9,HR511-H69,7466199,,,,4-7966-4221-8,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/030791755
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990087953650203941/catalog,#REF!,Judaica - New,I Touched Jewish Thought : Life and Pain,4-89451-099-5,ユダヤ思想にふれた私 : 生きる・いたみ,てしまゆうろう 著,,フォレスト出版,2000,2000.7,237p ; 19cm,,,図書,GK137 289.1,GK137-G31,2987412,,,,4-89451-099-5,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000003629795
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990087967410203941/catalog,#REF!,Judaica - New,"If the Jews get back on their feet, the world will get back on its feet",4-8355-1425-4,ユダヤ人が立ち直れば世界が見事に立ち直る,梶原和義 著,,文芸社,2001,2001.4,259p ; 20cm,,,図書,EC134 316.88,EC134-G38,2976512,,,,4-8355-1425-4,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/023785284
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990087730620203941/catalog,#REF!,Judaica - New,Illustrated structure of Jewish society : The real figure of modern Jews is here : Understand in 2 hours,4-8061-1442-1,図解ユダヤ社会のしくみ : 現代ユダヤ人の本当の姿がここにある : 2時間でわかる,滝川義人 著,,中経出版,2001,2001.3,207p ; 21cm,,,図書,EC134 316.88,EC134-G37,2966327,,,,4-8061-1442-1,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000011227168
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178192203941/catalog,#REF!,Judaica - New,Intercultural Trade and the Diaspora: Early Modern Livorno and Sephardic Merchants,978-4-86285-299-1,異文化間交易とディアスポラ : 近世リヴォルノとセファルディム商人,"フランチェスカ・トリヴェッラート 著 , 和栗珠里, 藤内哲也, 飯田巳貴 訳",,知泉書館,2019,2019.9,568p ; 23cm,,,図書,DE341 678.23,DE341-M3,29919935,,,,978-4-86285-299-1,ユダヤ1501-1600,,Red,,,1,1,http://id.ndl.go.jp/bib/025441890
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366572303941/catalog,,Judaica - New,Introduction to Israeli Political Studies = INTRODUCTION TO ISRAELI POLITICAL HISTORY,978-4-409-51084-1,イスラエル政治研究序説 = INTRODUCTION TO ISRAELI POLITICAL HISTORY : 建国期の閣議議事録一九四八年,森まり子 著,,人文書院,2020,2020.3,524p ; 22cm,,,図書,GE761 312.279,GE761-M14,30337234,,,,978-4-409-51084-1,イスラエル 201-300,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102614120203941/catalog,#REF!,Judaica - New,"Islamic and Jewish World Heritage best 99 : ""World Heritage"" promenade",4-04-853979-5,イスラームとユダヤの世界遺産best 99 : 「世界遺産」の散歩道,今公三 著・写真,,角川書店,2006,2006.6,192p ; 26cm,,,図書,"K275 , EG325 709.27",K275-H198,8225693,,,,4-04-853979-5,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/023880284
Not Found,No Permalink Found,#REF!,Judaica - New,Japan and Judea/The Hidden Bond of the Soul: Jewish Wisdom Awakening the Spiritual Power of the Japanese!,978-4-19-862281-7,日本とユダヤ/魂の隠された絆 : 日本人の霊力を呼び覚ますユダヤ人の叡智!,"中丸薫, ラビ・マーヴィン・トケイヤー 著",,徳間書店,2007,2007.1,400p ; 20cm,,,図書,GB71 210.04,GB71-H293,8430909,,,,978-4-19-862281-7,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/024101462
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366574003941/catalog,#REF!,Judaica - New,Jewish Community: Sources and Spaces of Jewish Literature,978-4-7791-2705-2,ジューイッシュ・コミュニティ = Jewish Community : ユダヤ系文学の源泉と空間,"広瀬佳司, 伊達雅彦 編",,彩流社,2020,2020.11,"224,9p ; 20cm",,,図書,KS183 930.29,KS183-M12,30760008,,,,978-4-7791-2705-2,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/000007411784
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178191303941/catalog,#REF!,Judaica - New,Jewish Cultural Renaissance in the Weimar Period,978-4-7642-7347-4,ワイマール時代のユダヤ文化ルネサンス,"M.ブレンナー 著 , 上田和夫 訳",,教文館,2014,2014.8,"348,50p ; 22cm",,,図書,EC134 316.88,EC134-L10,25769261,,,,978-4-7642-7347-4,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/031823683
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 1,978-4-7642-7351-1,イエス・キリスト時代のユダヤ民族史 1,"E.シューラー 著 , 小河陽 訳",,教文館,2012,2012.12,399p ; 22cm,,,図書,GE761 227.9,GE761-L2,24120574,,,,978-4-7642-7351-1,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000003067966
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 2,978-4-7642-7352-8,イエス・キリスト時代のユダヤ民族史 2,"E.シューラー 著 , 小河陽 訳",,教文館,2012,2012.12,436p ; 22cm,,,図書,GE761 227.9,GE761-L3,24120578,,,,978-4-7642-7352-8,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000009917170
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 3,978-4-7642-7353-5,イエス・キリスト時代のユダヤ民族史 3,"E.シューラー 著 , 小河陽, 安達かおり, 馬場幸栄 訳",,教文館,2014,2014.1,416p ; 22cm,,,図書,GE761 227.9,GE761-L8,25130279,,,,978-4-7642-7353-5,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000011277842
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 4,978-4-7642-7354-2,イエス・キリスト時代のユダヤ民族史 4,"E.シューラー 著 , 上村静, 大庭昭博, 小河陽 訳",,教文館,2015,2015.2,372p ; 22cm,,,図書,GE761 227.9,GE761-L15,26159012,,,,978-4-7642-7354-2,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/029438856
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/990136200340203941/catalog,#REF!,Judaica - New,jewish jokes salty taste of life,978-4-89586-033-8,ユダヤ・ジョーク人生の塩味,ミルトス編集部 編訳,,ミルトス,2010,2010.2,254p ; 19cm,,,図書,KM16 929.737,KM16-J2,10747743,,,,978-4-89586-033-8,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/031853869
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102630360203941/catalog,#REF!,Judaica - New,Jewish law of success,4-7952-0231-1,ユダヤ人の成功法則,倉原忠夫 著,,ウィーグル,2004,2004.7,179p ; 19cm,,,図書,US51 159,US51-H1283,7407734,,,,4-7952-0231-1,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/023818087
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102634480203941/catalog,#REF!,Judaica - New,Jewish money-making wisdom: Think like a Jew!,4-478-21053-5,ユダヤ人金儲けの知恵 : ユダヤ人のように考えろ!,烏賀陽正弘 著,,ダイヤモンド社,2004,2004.4,250p ; 20cm,,,図書,US51 159,US51-H1081,7321321,,,,4-478-21053-5,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000011119486
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102628770203941/catalog,#REF!,Judaica - New,Jewish recovery is a prerequisite for perfection of the planet,4-89008-352-9,ユダヤ人の回復は地球完成の必須条件,梶原和義 著,,JDC出版,2004,2004.11,334p ; 19cm,,,図書,EC134 316.88,EC134-H26,7567695,,,,4-89008-352-9,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000002905345
